natural_gas_use_kbtu,objectid,address,property_name,opa_number,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electricity_use_kbtu,portfolio_manager_id,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes,x_coord,y_coord
Not Available,800,900 PACKER AVE,Holiday Inn Stadium,883740000,19148,1,1972,Hotel,150800,10897798.3,3952018,Not Available,Not Available,Not Available,72.3,226.9,13202.3,1208.9,,-75.16474612,39.90932079
66143124.1,801,1930 S BROAD ST,Constitution Health Plaza,773010000,19145,5,1920,Medical Office,289700,19914813.6,3952478,Not Available,Not Available,Not Available,311.8,478.2,4026.9,5797,,-75.17023371,39.9263023
1660654.9,802,1400-18 E ERIE AVE,Bachmann Industries,884110150,19124,2,1950,Distribution Center,115105,1218374.4,3954287,Not Available,Not Available,Not Available,25,48.4,31.2,227.9,,-75.10082751,40.00507456
1470748.5,803,2900 GRANT AVE,S. Walter Packaging,884224500,19114,1,1965,Manufacturing/Industrial Plant,135000,3704009.2,3954376,Not Available,Not Available,Not Available,38.3,97.6,646.4,502.9,,-75.01544501,40.07203013
12196952.5,804,4200 CITY AVE,Hilton Philadelphia-Homewood Suites,883753000,19131,2,2000,Hotel,258000,11850439,3954556,Not Available,Not Available,55,93.2,193.9,16009.7,2006.8,,-75.21819806,40.00435408
5765196.7,805,12301-75 ACADEMY RD,Parkwood Shopping Center,882078060,19154,5,1964,Strip Mall,360537,7489715.3,3954640,Not Available,Not Available,Not Available,181,403.9,3639.3,1165.1,,-74.97509479,40.09594964
2136627.3,806,201 N 17TH ST,Sheraton Philadelphia Downtown,883720000,19103,1,1980,Hotel,894290,19564257.9,3954641,Not Available,28973141.1,88,63.7,123.9,47599.7,4280.9,,-75.1669024,39.95728374
756191,807,211 N CHRIS COLUMBUS BLVD,Marine Center - Pier 12 (147),884018812,19106,1,1910,Non-Refrigerated Warehouse,78000,1915633.3,3954643,Not Available,Not Available,7,34.3,87.3,1169.3,259.8,,-75.13846652,39.9540269
Not Available,808,420-34 S 02ND ST,420 s. Second Street,883406500,19147,1,1950,Restaurant,195154,22849,3954691,Not Available,Not Available,Not Available,0.2,0.7,1416,2.6,,-75.14614828,39.94251547
2197365.2,809,7350 E ROOSEVELT BLV,Roosevelt Mall-Macy's Building,882065510,19149,1,1960,Retail Store,515140,7035346.1,3954726,Not Available,Not Available,97,29.5,77.9,1463.3,923.5,,-75.05450955,40.04631702
1475014.7,810,3901-39 G ST,3901 G street,884114000,19124,1,1950,Distribution Center,108000,1823565.9,3955149,Not Available,Not Available,Not Available,30.5,67.4,149.4,287.5,,-75.11226691,40.00819401
0,811,3340 N BROAD ST,FSU,777528325,19140,1,2000,College/University,139460,13658126.8,3955734,Not Available,25908226,Not Available,283.7,531,1861.1,3286.6,,-75.15256282,40.00461564
23879.7,812,3201-09 N BROAD ST,KORNBERG DENTISTRY,777526000,19140,1,1980,College/University,133302,16176773.1,3955736,Not Available,11247993.5,Not Available,205.9,482.8,12692.3,2603.3,,-75.15214039,40.00180134
917.1,813,3211-39 N BROAD ST,DENTAL SCHOOL (ORIG),777527000,19140,1,2000,College/University,203374,9843620,3955737,Not Available,17161624.3,Not Available,132.8,253.5,51466.4,2268.4,,-75.1520201,40.00235773
736.8,814,800-20 RACE ST,PODIATRIC - UNIVERSITY,771524000,19107,1,2000,College/University,146805,8520661.4,3955822,Not Available,5104755.5,Not Available,92.8,224.1,4895.7,1316.1,,-75.15327926,39.954769
278638.4,815,1200 W GODFREY AVE,Salus University,776553600,19141,1,1976,Office,135000,4017640.2,3956315,Not Available,Not Available,77,61.4,184.4,396.2,460.5,,-75.13955298,40.04615322
668766.7,816,4343 WHITAKER AVE,ECI Building,884184500,19124,1,1950,Distribution Center,93000,Not Available,3956329,Not Available,Not Available,100,7.2,7.6,104.1,35.5,,-75.11697327,40.01518317
Not Available,817,401 ADAMS AVE,FORMAN MILLS 103,882181620,19120,1,1985,Retail Store,60000,6549586.5,3956428,Not Available,Not Available,5,109.2,342.8,225.8,751.1,,-75.11052693,40.04097885
Not Available,818,1449 C.B. MOORE,IBC REC CTR,777572705,19121,1,2000,College/University,69093,2005250.1,3956647,Not Available,Not Available,Not Available,126.6,198,5902.6,628.5,,-75.15909149,39.97913303
3172.3,819,3307-23 N BROAD ST,PNAH,777528500,19140,1,2000,College/University,169976,30541334,3956649,Not Available,50885139,Not Available,479.1,924.4,23898.9,6881.3,,-75.15194171,40.00367833
Not Available,820,1724-76 N BROAD ST,Liacouras Center Forum,777508005,19121,1,2000,College/University,270316,19289919.4,3956655,Not Available,Not Available,Not Available,158.5,320.3,27273.4,3619.7,,-75.15856873,39.97977349
71842.6,821,1901-39 N BROAD ST,MITTEN,777512010,19122,1,2000,College/University,112771,4806600.4,3956656,Not Available,14828417.4,Not Available,217.5,335.4,1167.5,1793.7,,-75.15657732,39.98218492
160.8,822,1723-29 N BROAD ST,KLEIN,777507000,19122,1,2000,College/University,186123,8996853.7,3957996,Not Available,10072715.3,Not Available,145.6,260,1300,2123.4,,-75.15693019,39.97969544
5094424.3,823,2800-48 COMLY RD,2800 Comly Rd.,884290000,19154,1,1981,Non-Refrigerated Warehouse,92000,780402.9,3958048,Not Available,Not Available,55,63.9,84.8,61.6,360.1,,-74.99828578,40.10026822
1560366.6,824,10195 NORTHEAST BLV,10195 Northeast Ave.,884239600,19116,1,1969,Non-Refrigerated Warehouse,50000,338559.9,3958050,Not Available,Not Available,69,38,54,39.2,121.7,,-75.02284994,40.10427418
137622.4,825,9300 ASHTON RD,"9300 Ashton Rd,",884227015,19114,1,1970,Non-Refrigerated Warehouse,77576,313716,3958054,Not Available,Not Available,99,5.8,14.6,275.7,43.3,,-75.01981837,40.06844603
1514823,826,2180 HORNIG RD,PeiGenesis,883095110,19116,2,1987,Office,69000,118288.2,3958192,Not Available,Not Available,Not Available,23.7,28.4,556.8,94,,-74.99641307,40.11137757
298019.9,827,2180 HORNIG RD,PEI-Genesis,883095110,19116,2,1987,Other,20000,2813.5,3958205,Not Available,Not Available,Not Available,15,16.1,109.4,16.2,,-74.99641307,40.11137757
1985002.2,828,10350 DRUMMOND RD,10350 Drummond Rd.,884283501,19154,1,1973,Non-Refrigerated Warehouse,99000,1400594.3,3958313,Not Available,Not Available,68,34.2,65.5,611.7,266.1,,-74.99801966,40.08395568
123,829,3420-30 N BROAD ST,MEDICAL RESEARCH BLDG,777531000,19140,1,2000,College/University,117180,18394910.9,3958443,Not Available,16246208.5,Not Available,295.6,659.7,5442.4,3188.3,,-75.15253916,40.00548501
42193.9,830,1800-28 N BROAD ST,Pearson/Mcgonigle,777508500,19122,1,1969,College/University,449750,14799669.4,3958445,Not Available,0,Not Available,94.8,165.3,8732.8,3165,,-75.15831604,39.98085655
300.9,887,1801-35 N BROAD ST,CONWELL HALL,777509000,19122,1,2000,College/University,67644,3034291.6,3979396,Not Available,6497449.4,Not Available,184,299.5,12122.5,933.1,,-75.15620977,39.9807969
Not Available,888,1801-35 N BROAD ST,CARNELL HALL,777509000,19122,1,2000,College/University,75931,3406025.6,3979397,Not Available,3825074.8,Not Available,138.3,244.6,418.8,817.1,,-75.15620977,39.9807969
1079304,889,9815 E ROOSEVELT BLV,9815 Roosevelt Blvd.,883812400,19154,1,1971,Non-Refrigerated Warehouse,78500,1261936,3980064,Not Available,Not Available,62,29.8,64.9,565.6,202,,-75.0221189,40.0859755
9204701.2,890,33 N BROAD ST,Masonic Temple,771032200,19107,1,1868,Mixed Use Property,195058,7000035.3,3980474,Not Available,Not Available,Not Available,83.1,162.2,1073.7,1291.7,,-75.16267598,39.95361782
4973053,891,3950 D ST,Hoffman Hall,881439700,19124,1,1919,Prison/Incarceration,60160,3324113,3981473,Not Available,Not Available,Not Available,137.9,260.3,9744.1,645.4,,-75.11990312,40.00809954
Not Available,892,1801 Liacouras Walk,Alter Hall,777509000,19122,1,2000,College/University,217526,8391752.6,3983809,Not Available,12098181.2,Not Available,165.2,259.1,3200,2579.8,,-75.15620977,39.9807969
101.7,893,1819 N BROAD ST,WACHMAN HALL,777509000,19122,1,2000,College/University,130655,8411395.5,3983810,Not Available,8332269,Not Available,171.3,322,11061.1,1814.7,,-75.15620977,39.9807969
381,894,1115 W. POLETT WALK,GLADFELTER,777568800,19122,1,2000,College/University,181566,5808237.4,3983811,Not Available,10306273.5,Not Available,149,228.9,2632.8,1926.5,,-75.15261312,39.98150887
545807.9,895,2020 N. 12th Street,NEW TYLER SOA,777570600,19122,1,2000,College/University,233240,20113269.1,3983812,Not Available,27513890.6,Not Available,380,588.6,4942.9,6295,,-75.15379203,39.98354649
0,896,1701 N. 13TH ST,WEISS,777568900,19122,1,2000,College/University,159000,6071947.4,3983813,Not Available,14097474.4,Not Available,170,269.7,1638.5,1993.7,,-75.15484455,39.97858385
38.6,897,1947 N. 12TH ST,ENGINEERING,777568800,19122,1,2000,College/University,160325,9866920.5,3983896,Not Available,11294404.3,Not Available,192,338,2105.4,2388.2,,-75.15261312,39.98150887
Not Available,898,1810 Liacouras Walk,1810 LIACOURAS WALK,777509000,19122,1,2000,College/University,74630,2687022.3,3983897,Not Available,13597752.6,Not Available,229,343,1167.5,1253.3,,-75.15620977,39.9807969
165712.8,899,204 S 12TH ST,204 S 12TH ST,882568700,19107,1,1929,Other,60000,1784450.8,3988160,Not Available,Not Available,Not Available,32.5,96.3,1671.7,213.4,,-75.16107112,39.94836496
999636.2,900,7400 HOLSTEIN AVE,7400 Holstein Ave.,884167024,19153,1,2003,Other,52800,2885845.4,3989162,Not Available,Not Available,Not Available,73.6,191.5,161.6,384,,-75.22769105,39.90219716
3685606.7,901,4300 MONUMENT RD,Methodist Home for Children,881445900,19131,9,1900,Mixed Use Property,114073,2647856.7,3989764,Not Available,Not Available,Not Available,55.5,106.8,4583.9,499.4,,-75.21490451,39.9980298
259714.7,902,1333 Rhawn St,Fox Chase,884222525,19111,1,2005,Self-Storage Facility,71945,459845.5,3989904,Not Available,Not Available,Not Available,10,23.9,360.1,66.5,,-75.06577308,40.06941353
219769.2,839,2239-47 W MONTGOMERY AVE,2239 West Montgomery Ave,772176000,19121,1,1918,K-12 School,57200,837714.2,3959812,Not Available,Not Available,100,18.5,50,1271.7,107.7,,-75.17181127,39.98251034
1727083.5,840,220-24 S BROAD ST,Bellevue Associates,883427500,19102,1,1989,Fitness Center/Health Club/Gym,93000,7006716,3959844,Not Available,Not Available,Not Available,93.9,256.1,7138.2,895.3,,-75.16511192,39.94863809
1972053.6,841,2190 HORNIG RD,Finishing Trades Institute,778495000,19116,1,1988,Adult Education,98000,1033233.8,3959886,Not Available,Not Available,Not Available,38.5,68.1,160.2,223.2,,-74.9959138,40.11299972
Not Available,842,135 S 20TH ST,The Chatham,881026300,19103,1,1927,Multifamily Housing,85328,2954584.2,3960078,Not Available,Not Available,77,34.6,108.7,4.3,338.8,,-75.17359742,39.95078256
1184158.3,843,4900 RHAWN ST,New Foundations Charter High School,778630100,19136,1,2012,K-12 School,71600,4697464.2,3960550,Not Available,Not Available,7,82.1,223.4,20075.2,584,,-75.02479199,40.03357723
Not Available,844,399 MARKET ST,Colonial Penn Life Insurance,883014000,19106,1,1974,Office,153376,8415216.9,3960828,Not Available,Not Available,Not Available,66.6,209.2,2306,965.1,,-75.14674677,39.95068182
759240,845,1509 E ERIE AVE,castor,882120009,19124,1,1945,Retail Store,60000,787216.6,3962326,Not Available,Not Available,Not Available,25.8,54.5,36.7,130.6,,-75.09795947,40.00620115
1325757.4,846,8001-25 TORRESDALE AVE,New Foundations Charter Elementary School,778512302,19136,1,1999,K-12 School,72134,1699704.2,3962712,Not Available,Not Available,85,41.9,93.3,252.5,259,,-75.02418144,40.03500502
4524419.5,847,2109 RED LION RD,Oakwood Healthcare,881435100,19115,1,1967,Senior Care Community,75080,4528375.7,3963240,Not Available,Not Available,47,120.6,252.7,8324.2,759.6,,-75.0166677,40.09653517
Not Available,848,2001 N. 13TH,PRESSER,777570600,19122,1,2000,College/University,54792,1641275.4,3963378,Not Available,8280593.4,Not Available,210.1,304.9,6088.6,821.8,,-75.15379203,39.98354649
0,849,5101-49 UNRUH AVE,Mar Vick Bren INC,884180500,19135,1,1950,Non-Refrigerated Warehouse,125000,560156.6,3963466,Not Available,Not Available,Not Available,4.5,14.1,38.4,64.2,,-75.04157231,40.01943116
Not Available,850,5200 BLEIGH AVE,Morris Iron and steel,884252000,19136,1,1960,Manufacturing/Industrial Plant,100000,423108.5,3963496,Not Available,Not Available,Not Available,4.2,13.3,624.3,46.9,,-75.0262943,40.02298756
Not Available,851,117-31 N 08TH ST,Archworks Philadelphia,883013200,19106,1,1920,Office,68631,2878486,3963826,Not Available,Not Available,72,53.9,169.3,1635.6,330.1,,-75.15258403,39.95382695
2667.6,852,2801-31 A ST,SOMERSET WAREHOUSE,884340880,19134,1,1945,Non-Refrigerated Warehouse,65000,254995.8,3963906,Not Available,Not Available,100,4,12.4,12.7,29.4,,-75.12825709,39.99241411
2197201.8,853,2901 W HUNTING PARK AVE,SHARE Community Food Resource Center,884129000,19129,1,1929,Distribution Center,183550,2147272.6,3963980,Not Available,Not Available,69,32.5,67.8,951,354.9,,-75.17779829,40.00615453
Not Available,854,1100 WELSH RD,Chapel Manor,881435400,19115,1,1973,Other,54819,5432931,3964499,Not Available,Not Available,Not Available,99.1,311.2,10116.2,602.7,,-75.04801169,40.08963571
818879,855,2114-40 ARCH ST,2114 Arch Street Associates,881036170,19101,1,1938,Office,125000,11248442.8,3964521,Not Available,Not Available,34,96.5,289.4,2391.9,1333.5,,-75.17572569,39.95571948
Not Available,856,18-28 S 07TH ST,Balch Building,771752000,19107,1,1975,Office,84000,3405095.8,3964571,Not Available,1485.4,90,40.6,127.3,350.8,390.6,,-75.15245102,39.95028564
206800,857,13451 DAMAR DR,13451 Damar Drive,884244700,19116,1,1996,Non-Refrigerated Warehouse,66600,859407.7,3965369,Not Available,Not Available,Not Available,16,43.8,166.1,109.5,,-75.00038523,40.12037544
134,858,2001-59 N 13TH ST,ANNENBERG and TOMLINSON THEATER,777570600,19122,1,2000,College/University,120576,8244511.1,3965450,Not Available,8799379.1,Not Available,141.4,302.5,3444.4,1529.7,,-75.15379203,39.98354649
Not Available,859,1801-33 N 12TH ST,BELL BUILDING & GARAGE (Bldg 253000 Garage 84469),777634500,19122,1,1990,College/University,421938,62986509.5,3965451,Not Available,16212311.2,Not Available,306.5,715.7,21902.1,9576.9,,-75.15291782,39.9800869
2046886.4,860,2233-47 W ALLEGHENY AVE,Allegheny Business Center,884558100,19132,1,1915,Adult Education,87756,1245200.9,3965468,Not Available,Not Available,Not Available,37.5,69,13.3,246.9,,-75.16703839,40.00387802
Not Available,861,3334-56 N PARK AVE,JONES HALL,881299300,19140,1,2000,Medical Office,103361,11429043.3,3965683,Not Available,14482372.2,27,250.7,515.8,3029.1,2272.3,,-75.15129547,40.0042324
144,862,1114 W. POLETT WALK,ANDERSON,777568800,19122,1,2000,College/University,207802,7541246.8,3965855,Not Available,6839852.5,Not Available,108.1,192.5,716.8,1745.2,,-75.15261312,39.98150887
2041.5,863,1901-59 N 13TH ST,BEURY,777570400,19122,1,2000,College/University,174700,17409074.9,3965856,Not Available,4248696.2,Not Available,316.4,534.6,3411.4,4050.1,,-75.15412058,39.98205879
13022.3,864,1710-50 N 15TH ST,ECEC,777573005,19122,1,2000,College/University,58020,5381573.6,3966438,Not Available,Not Available,Not Available,211.9,417,50.2,1007.2,,-75.15978893,39.97972642
Not Available,865,1801-59 N 13TH ST,TUTTLEMAN LEARNING CENTER,777570200,19122,1,2000,College/University,117253,7401702.8,3966439,Not Available,11806020.5,Not Available,316.5,472,1801.8,2576.3,,-75.15444754,39.98059592
169.5,866,1210 W. BERKS,PALEY,777570200,19122,1,2000,College/University,184644,10980211.8,3966440,Not Available,10135579.7,Not Available,195.4,333.8,786.2,2721.1,,-75.15444754,39.98059592
14196679.4,867,3111 W ALLEGHENY AVE,Pep Boys,884130000,19132,1,1928,Office,539500,16245364.5,3966677,Not Available,Not Available,92,60,129.9,1822.1,2617.1,,-75.18070676,40.00602714
0,868,275-99 GEIGER RD,275 Geiger Rd.,884228000,19006,1,1984,Non-Refrigerated Warehouse,77500,1407564,3966762,Not Available,Not Available,70,18.2,57,31.4,161.4,,-75.04508726,40.10771372
2544506.7,869,3031 Red Lion Rd,3031 Red Lion Rd.,884289001,19114,1,1971,Refrigerated Warehouse,91828,1355729.2,3966784,Not Available,Not Available,95,42.5,75.5,34.7,290.6,,-74.99947814,40.0829641
10407280.6,870,10981 DECATUR RD,10981 Decatur Rd.,884280000,19154,1,1975,Non-Refrigerated Warehouse,250000,2328524.9,3966792,Not Available,Not Available,50,50.9,73,725.2,819.8,,-74.98946155,40.09214992
401222.3,871,11620 CAROLINE RD,11620 Caroline Rd.,884270000,19154,1,1970,Non-Refrigerated Warehouse,70814,67873.5,3966799,Not Available,Not Available,Not Available,6.6,9,167.8,29.1,,-75.00451646,40.09829811
12039184.7,872,2800 Fox St,ShopRite of Fox Street,882066190,19129,1,2013,Supermarket/Grocery Store,75488,12522490.4,3966890,Not Available,Not Available,54,325.4,688.3,2394.3,2075.5,,-75.17580691,40.00963469
Not Available,873,2041-55 CORAL ST,Produce Garden,884346250,19125,1,1950,Refrigerated Warehouse,58740,991240.9,3967891,Not Available,Not Available,98,16.9,53,23042.8,113.7,,-75.13210901,39.98144846
Not Available,874,3519-33 N BROAD ST,BOYER PAVILION,777533001,19140,1,2000,Hospital (General Medical & Surgical),344000,25614696.1,3969865,Not Available,27706922.9,91,155,330.7,7110.2,4777.2,,-75.15101572,40.00664445
1341.7,875,1900 N. 12TH,BIOLOGY,777570400,19122,1,2000,College/University,168651,18184342.7,3969866,Not Available,54491689.1,Not Available,632.3,928.6,19014.3,7493.2,,-75.15412058,39.98205879
Not Available,876,19 S 22ND ST,College of Physicians,772525500,19103,1,1909,Museum,68967,3090067.6,3970936,Not Available,3520616.3,Not Available,95.9,202.1,786.7,588.1,,-75.17641358,39.95318086
5204659.7,877,1513-41 RACE ST,Magee Rehabilitation Hospital,772046000,19102,1,1981,Other - Specialty Hospital,146912,11627591,3971353,Not Available,Not Available,Not Available,114.6,285.7,6474.8,1566.3,,-75.16540056,39.95680987
Not Available,878,6000 WOODLAND AVE,6000 Woodland Partners LP,882052200,19142,3,1972,Other - Mall,97029,376022.9,3971641,Not Available,Not Available,Not Available,3.9,12.2,1971.1,41.7,,-75.2286291,39.9288304
1129140955,879,5000 FLAT ROCK RD,PaperWorks Industries Inc,884084504,19127,60,1800,Manufacturing/Industrial Plant,530000,196575556,3974305,Not Available,Not Available,Not Available,2501.4,3401.6,2377938.2,81780.4,,-75.23814771,40.03368081
1123400.3,880,1326-40 BUTTONWOOD ST,"The Mathematics, Civics and Sciences Charter School of Philadelphia, Inc.",771635115,19123,1,1925,K-12 School,81342,2149044.8,3975541,Not Available,Not Available,30,55.2,133.7,665.2,306.1,,-75.16055203,39.96108741
1170441.4,881,2100 KUBACH RD,"fmi direct mail advertising, inc",884233850,19116,1,2000,Mailing Center/Post Office,60000,1559864,3975948,Not Available,Not Available,Not Available,45.5,102.1,201.5,241.1,,-74.99986018,40.11423471
Not Available,882,4001 GRANT AVE,Nazareth Grade School and High School,778501500,19114,1,1932,K-12 School,75000,1901334.6,3977128,Not Available,Not Available,97,25.4,79.6,Not Available,218,,-74.9874965,40.05936921
207914.5,883,1511-37 N 26TH ST,Eastern Electrical Liquidators,884100600,19121,2,1800,Non-Refrigerated Warehouse,100000,420202.1,3977234,Not Available,Not Available,Not Available,6.3,15.4,68,59.2,,-75.17734619,39.97900596
121328.5,884,1713-55 N 13TH ST,GITTIS STUDENT CENTER,777569000,19122,1,2000,College/University,220700,6521846.9,3979389,Not Available,7865427.1,Not Available,88.7,159.2,3479,1543.6,,-75.15495696,39.97929935
Not Available,885,1713-55 N 13TH ST,STUDENT CTR II,777569000,19122,1,2000,College/University,86182,5821585.1,3979390,Not Available,34988080.3,Not Available,663.3,890.3,1336.5,3852.7,,-75.15495696,39.97929935
146.7,886,1801-35 N BROAD ST,SPEAKMAN,777509000,19122,1,2000,College/University,110605,4390046.4,3979395,Not Available,1260099.8,Not Available,94.2,181.4,30.3,838.4,,-75.15620977,39.9807969
1152792.2,1548,2201 CHESTNUT ST,Coronado Condominiums,888081903,19103,1,1910,Multifamily Housing,50000,570085.1,6049929,Not Available,Not Available,100,34.5,60,1481.6,124.5,,-75.17718134,39.9527448
77050870.9,1549,2027-35 LOCUST ST,ADR 2031 Locust LP,881029000,19103,1,1929,Multifamily Housing,103000,4369680.2,6057772,Not Available,Not Available,Not Available,790.5,918.7,3186.7,4577.3,,-75.17514581,39.94971565
11675961.7,1550,7107 OLD YORK RD,York Nursing & Rehabilitation Center,881447800,19126,3,1964,Senior Care Community,92445,4940381.5,6064454,Not Available,Not Available,Not Available,190.4,318.2,15910.7,1168.2,,-75.13656552,40.06095787
5069283,1551,6200-30 WALNUT ST,Care Pavilion of Walnut Park,881446200,19139,1,1975,Senior Care Community,144900,9655345.8,6065500,Not Available,Not Available,66,128.2,310.2,8996.6,1340.3,,-75.24614476,39.95896646
6524064.7,1552,301 W JOHNSON ST,Cliveden Nursing and Rehabilitation Center,881436651,19119,1,1964,Senior Care Community,63339,4265511.8,6066569,Not Available,Not Available,37,170.3,319.6,5839.3,819.7,,-75.18806594,40.04097487
3514768.3,1553,125 W SCHOOL HOUSE LN,Maplewood Nursing & Rehabilitation,881447201,19144,1,1975,Senior Care Community,79844,4800690.8,6066693,Not Available,Not Available,96,121.1,273.2,9046.9,719.2,,-75.17536676,40.03258589
3704933.6,1554,1001-11 WALLACE ST,Tucker House Nursing & Rehab,881444100,19123,1,1978,Senior Care Community,70299,6273753.6,6066890,Not Available,Not Available,17,141.9,335.6,12119.2,892.7,,-75.15443175,39.96444929
18760850.8,1460,711-39 SPRING GARDEN ST,Guild House East,881420116,19123,1,1963,Multifamily Housing,66000,2488371.6,5250071,Not Available,Not Available,1,322,416.9,5894.4,1281.8,,-75.15070731,39.96180522
Not Available,1461,2393 WOODWARD ST,Evergreen Towers,881178000,19115,1,1967,Multifamily Housing,190000,Not Available,5253514,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,-75.03872431,40.07226705
Not Available,1462,2318 TREMONT ST,Evergreen Manor,881179000,19115,11,1960,Multifamily Housing,210000,Not Available,5253515,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,-75.03923139,40.07342161
Not Available,1463,7701 MC CALLUM ST,Star Enterprises IV,881052000,19118,17,1954,Multifamily Housing,147952,1744643.3,5279973,Not Available,Not Available,100,13.1,41.2,Not Available,193.5,,-75.20927852,40.05837423
2237444.6,1464,314-22 N 12TH ST,Old Shoe Factory Condo Association,888057613,19107,1,1925,Multifamily Housing,63838,2617960.7,5510618,Not Available,Not Available,11,76.1,165.6,1815,419.1,,-75.15880698,39.95825352
1970525.7,1465,1701 S 28TH ST,Anthony Wayne Senior Housing,886900850,19145,1,2004,Other - Lodging/Residential,79200,1367318.1,5533978,Not Available,Not Available,Not Available,42.1,80.3,561,256.3,,-75.19104695,39.93187324
1170836.8,1466,113 BREAD ST,National at Old City Condominiums,888058116,19106,1,2006,Multifamily Housing,81616,2029536.1,5533988,Not Available,Not Available,95,39.2,93.1,3869.3,294.9,,-75.14367771,39.95276945
4377121,1467,6200-08 WAYNE AVE,6200 Wayne,881211900,19144,1,1926,Multifamily Housing,71432,1261484.6,5544301,Not Available,Not Available,37,78.9,119.8,3770.9,377.2,,-75.18693284,40.03593479
Not Available,1468,105 N 2ND ST,Pottery,881006050,19106,1,1940,Multifamily Housing,50997,407711.1,5544383,Not Available,Not Available,Not Available,8,25.1,749.7,45.2,,-75.1429008,39.95210872
1205755.1,1469,1001-13 CHESTNUT ST,The Victory Condo Association,888110586,19107,1,1873,Multifamily Housing,98656,5237037.9,5593634,Not Available,Not Available,4,65.3,179.5,4788.8,664.6,,-75.15730631,39.95039877
11338562.1,1470,100 S INDEPENDENCE W ML,100 Independence- DOW Building,883013010,19106,1,1965,Office,466085,28693596.1,5705392,Not Available,3421574.9,81,104.6,255.4,8011.6,4120,,-75.15103898,39.95026876
97674870.5,1471,10800 KNIGHTS RD,ARIA - Jefferson Health Torresdale,778017000,19114,1,1970,Hospital (General Medical & Surgical),1097572,50152373.8,5763567,Not Available,Not Available,28,270,474.9,45474.1,10751.4,,-74.98307007,40.07117033
1664383.6,1472,1520 CECIL B MOORE AVE,Beech Interplex,881147875,19121,1,2010,Multifamily Housing,75000,2147947.1,5806117,Not Available,Not Available,85,50.8,113.2,1999,334.7,,-75.16084377,39.97873711
2648576,1473,3737L CHESTNUT ST,3737 Chestnut,881116120,19104,1,2015,Multifamily Housing,521869,11293590.3,5810894,Not Available,Not Available,91,27.5,75.5,4462.8,1435.8,,-75.19784642,39.95537461
Not Available,1474,1525-29 LOCUST ST,1525 Locust,883045400,19102,1,1983,Office,93544,8060242.7,5849202,Not Available,Not Available,38,86.2,270.6,1455.3,924.3,,-75.16739788,39.9487545
12947608.7,1475,9130 STATE RD,Clear Channel Outdoor,884265000,19136,1,1980,Office,53814,363647.9,5853368,Not Available,Not Available,13,247.4,273.8,146.6,728,,-74.99693526,40.04557401
342339.8,1476,410 S FRONT ST,(PA2497) - 410 South Hill Condominium,888500908,19147,1,2015,Multifamily Housing,85498,2877930.6,5853435,Not Available,Not Available,57,37.7,109.9,2476.8,348.2,,-75.14435917,39.94247798
24872936.8,1477,7901 HENRY AVE,"Henry on the Park JV, LP",881093010,19128,7,1965,Multifamily Housing,601127,11828731.8,5859558,Not Available,Not Available,78,61.1,105.2,26326.3,2677.6,,-75.23029474,40.05659022
Not Available,1478,315 NEW ST,Bridgeview Place,888056500,19106,1,1990,Multifamily Housing,170000,6937046.4,5865243,Not Available,Not Available,49,52.4,164.4,4537.7,795.5,,-75.14532717,39.9556796
Not Available,1479,2218-22 WALNUT ST,Roosevelt,881028510,19103,1,1915,Multifamily Housing,61520,26054,5866183,Not Available,Not Available,100,0.4,1.3,2689.2,3,,-75.17825051,39.95106421
Not Available,1480,3816-36 CHESTNUT ST,Hamilton Court,881117000,19131,1,1910,Multifamily Housing,157304,2559682.4,5866261,Not Available,Not Available,100,16.3,51.1,10713.6,293.5,,-75.1995685,39.95488209
Not Available,1481,4701-29 PINE ST,Garden Court,881145000,19143,1,1929,Multifamily Housing,311376,4389026.2,5867579,Not Available,Not Available,100,14.1,44.3,5346.3,503.3,,-75.21704489,39.95281824
8617379.7,1482,6733 EMLEN ST,Emlen Arms: 6733 Emlen Street,886761430,19119,1,1996,Multifamily Housing,101844,3097952,5889781,Not Available,Not Available,20,115,184.4,7753,813,,-75.18974057,40.04957311
4061459.9,1483,1710-44 N CROSKEY ST,Bentley Hall: 1728 North Croskey Street,886761175,19121,1,1995,Multifamily Housing,54845,2120629.7,5889782,Not Available,Not Available,19,112.7,199.2,4968.2,458.9,,-75.1718505,39.98121759
9455480.7,1484,3801 CONSHOHOCKEN AVE,Imperial Towers,881160000,19131,1,1969,Multifamily Housing,259162,1444923,5891769,Not Available,Not Available,98,63.1,83.7,8786.4,667.9,,-75.20579329,40.00375133
2239700.1,1485,7575 BREWSTER AVE,Warehouse - Philadelphia,884165000,19153,1,1900,Non-Refrigerated Warehouse,165000,2491903,5892957,Not Available,Not Available,74,28.7,61.7,401,404.7,,-75.2325497,39.9037557
