Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
3701/059,Hotel Whitcomb,1215 MARKET ST,94103,431887,,"1215 MARKET ST
SAN FRANCISCO, CA 94103
(37.778288, -122.415307)",Complied,,http://propertymap.sfplanning.org/?&search=3701/059,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,95,44.7,91.6,-44,-44,852.4,2.9,44.9,92.4,96,44.6,89.5,-45.4,-45.4,845.2,2.8,44.6,89.5,95,44.8,90.6,-44.7,-44.7,850.5,2.9,44.8,90.6,68,40.7,84.4,-15.7,-15.7,791.6,2.7,41.6,87.1,59,49.1,100.7,-8.2,-8.1,993.2,3.4,49.1,100.7,,,,,,,,,,89,52.4,,-37.2,,1082.82,,52.4,
0292/016,127 SUTTER ST,127 SUTTER ST,94104,26436,,"127 SUTTER ST
SAN FRANCISCO, CA 94104
(37.789956, -122.402877)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0292/016,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704/070,969 MARKET ST,969 MARKET ST,94103,27037,Other - Entertainment/Public Assembly,"969 MARKET ST
SAN FRANCISCO, CA 94103
(37.782802, -122.409587)",Complied,,http://propertymap.sfplanning.org/?&search=3704/070,Complied,,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2016-04-01T00:00:00,,29.2,81.7,-4,-4,53.2,2.1,29.2,81.7,,28.3,79.6,-6.5,-6.5,58.3,2.3,28.3,79.6,,24.3,64.1,-24.7,-24.7,45.9,1.8,24.3,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3745/008,365 MAIN ST,365 MAIN ST,94105,266980,Data Center,"365 MAIN ST
SAN FRANCISCO, CA 94105
(37.788493, -122.390741)",Complied,,http://propertymap.sfplanning.org/?&search=3745/008,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,,,Complied,2015-04-01T00:00:00,28,853.6,2658.3,8.9,8.9,14689.7,64.7,853.6,2658.3,37,951.1,2979.4,4.9,4.9,16370.9,72.1,951.1,2979.4,100,1045.9,3284,-96.5,-96.5,19355.7,85.3,1045.9,3284,100,1037.3,3257.1,-94.2,-94.2,19197,84.6,1037.3,3257.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728/076,1263 MISSION ST,1263 MISSION ST,94103,26419,Office,"1263 MISSION ST
SAN FRANCISCO, CA 94103
(37.776647, -122.41419)",Complied,,http://propertymap.sfplanning.org/?&search=3728/076,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,90,36.1,110.8,-45.8,-45.8,71.6,2.7,36.1,110.8,96,28.7,87.9,-56.5,-56.5,56.9,2.2,,8.1,99,20.1,63,-68.9,-68.9,40.2,1.5,20.1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0294/008,228-240 Post SF,228 POST ST,94108,38294,Retail Store,"228 POST ST
SAN FRANCISCO, CA 94108
(37.788613, -122.405874)",Complied,,http://propertymap.sfplanning.org/?&search=0294/008,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,79,72.5,227.2,-35.3,-35.3,210.3,5.5,71.8,225,80,70.9,222.6,-36,-36,235.6,6.2,70.4,220.9,,72.7,228.2,99.4,99.4,226.9,5.9,72.7,228.2,,76.4,239.7,109.5,109.5,238.4,6.2,76.4,239.7,,48.1,150.5,31.4,31.6,161.6,4.2,48.1,150.5,,,,,,,,,,,,,,,,,,
1064/060,3330 GEARY BLVD,3330 GEARY BLVD,94118,19913,Office,"3330 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781586, -122.454736)",Complied,,http://propertymap.sfplanning.org/?&search=1064/060,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Exempt,,Exempt,,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2015-04-01T00:00:00,,28.1,50.4,-65.9,-65.9,34.3,1.7,28.1,50.4,,22.7,56,-62.2,-62.2,34.3,1.7,22.7,56,,45.8,83.2,-43.8,-43.8,57.9,2.9,45.8,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5203/061,375 NEWHALL ST,375 NEWHALL ST,94124,42200,Data Center,"375 NEWHALL ST
SAN FRANCISCO, CA 94124
(37.742538, -122.385971)",Complied,,http://propertymap.sfplanning.org/?&search=5203/061,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Pending - Contracted,2014-04-01T00:00:00,,786,1019,727.7,727.7,1850.6,43.9,783.5,1011.3,1,754.9,1021.3,823.6,823.6,1847.4,43.8,754.9,1021.3,1,702.5,958.2,765.6,765.6,1701.2,40.3,702.5,958.2,1,707.7,880.1,477.6,477.6,1664.9,39.5,707.7,880.1,1,339.4,1065.7,569.4,569.4,1258.9,29.8,339.4,1065.7,1,611,2022.2,1096.4,,2334.71,,610.8,2021.9,,,,,,,,,
0269/004,364 BUSH ST,364 BUSH ST,94104,12014,Office,"364 BUSH ST
SAN FRANCISCO, CA 94104
(37.790826, -122.403527)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0269/004,Complied,,Complied,,Exempt,,Exempt,,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2016-04-01T00:00:00,,,,,,,,,,,129.3,209.3,41.4,41.4,96.7,8.1,129.3,209.3,,174.7,258.5,74.6,74.6,126,10.5,174.7,258.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0173/005,607 FRONT ST,607 FRONT ST,94111,15763,Office,"607 FRONT ST
SAN FRANCISCO, CA 94111
(37.797208, -122.39955)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=0173/005,Complied,,Complied,,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,,,,,,,,,,,,73,43.7,91,-24.8,-24.8,48.1,3,51.7,99.3,73,43.3,93.5,-24.8,-24.8,46.5,3,46.6,97.1,68,44.7,97.7,-19.7,-19.7,48.3,3.1,54,107.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
4343/004,180 Napoleon St,180-200 Napoleon St,94124,302330,Mixed Use Property,"180 200 Napoleon St
SAN FRANCISCO, CA 94124
(37.747043, -122.39876)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4343/004,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,61,39.7,103.2,-13,-13,425,2.8,44,107.4,61,38.8,104.2,-12.7,-12.7,447.7,2.9,40.8,105.6,60,38,104.6,-11.9,-11.9,443.8,2.9,38,104.6,58,46.5,110.1,-9.8,-9.8,505.4,3.3,43.9,107.3,,,,,,,,,,,,,,,,,,
0502/005G,2750 VAN NESS AVE,2750 VAN NESS AVE,94109,24824,,"2750 VAN NESS AVE
SAN FRANCISCO, CA 94109
(37.801009, -122.424404)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0502/005G,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0135/003,Battery,901 BATTERY ST,94111,92061,Office,"901 BATTERY ST
SAN FRANCISCO, CA 94111
(37.799809, -122.401308)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=0135/003,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,68,69.7,165.4,-18.8,-18.8,477.4,5.2,72.3,168.2,65,71.5,173.5,-16.3,-16.3,472.9,5.1,71.4,171.5,64,70.2,173.9,-14.9,-14.9,468.9,5.1,72.5,176.3,52,86.4,202.8,-3,-3.1,594.1,6.5,86.5,202.7,,,,,,,,,,66,78.2,,-16.8,,538.61,,78.2,
0136/001,55 Green St,55 GREEN ST,94111,45000,Office,"55 GREEN ST
SAN FRANCISCO, CA 94111
(37.800582, -122.400527)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0136/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,42,86.1,199.7,8.7,8.7,285.1,6.3,86.1,199.7,37,91.9,214.6,14.7,14.7,292,6.5,91.9,214.6,34,88.4,217.5,18,18,287.5,6.4,89.7,216.8,37,90.1,215.6,14.2,14.2,289.4,6.4,90.2,215.7,35,93.9,235.8,16.8,,326.43,,93.6,235.4,,,,,,,,,
0304/005,610 GEARY ST,610 GEARY ST,94109,39880,Hotel,"610 GEARY ST
SAN FRANCISCO, CA 94109
(37.786672, -122.413602)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0304/005,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2021-04-01T00:00:00,Complied,2015-04-01T00:00:00,,,,,,,,,,95,62.9,92,-48.1,-48.1,149.9,3.8,67.3,96.6,97,55.9,84.5,-52.8,-52.8,132.4,3.3,58.3,87,97,57.6,83.7,-52.5,-52.5,134.5,3.4,64.5,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059/001B,815 TENNESSEE ST,815 TENNESSEE ST,94107,13276,,"815 TENNESSEE ST
SAN FRANCISCO, CA 94107
(37.761477, -122.389571)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4059/001B,Exempt,,Exempt,Exempt - Demolished,Exempt,Exempt - Change of Ownership,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2021-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724/071,155 5th Street,155 5TH ST,94103,410915,,"155 5TH ST
SAN FRANCISCO, CA 94103
(37.78193, -122.405487)",Complied,,http://propertymap.sfplanning.org/?&search=3724/071,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,,Violation - Did Not Report,,Violation - Insufficient Data,,Upcoming,2019-04-01T00:00:00,,,,42.4,89.6,-39.5,-39.5,1055.7,2.7,43.1,90.3,,38.3,83.8,-43.4,-43.4,965.2,2.5,38.8,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703/056,1011 MARKET ST,1011 MARKET ST,94103,11820,,"1011 MARKET ST
SAN FRANCISCO, CA 94103
(37.781949, -122.410652)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3703/056,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3794/015,"Civitas Equity Fund I, LLC",101 TOWNSEND ST,94107,30000,,"101 TOWNSEND ST
SAN FRANCISCO, CA 94107
(37.780451, -122.390745)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3794/015,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Pending - Contracted,2014-04-01T00:00:00,,,,,,,,,,1,143.5,416.7,148.7,148.7,315.4,10.5,143.5,416.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,29.2,74.8,-46.7,,68.36,,28.4,74,,,,,,,,,
6462/022,5225 MISSION ST,5225 MISSION ST,94112,11200,,"5225 MISSION ST
SAN FRANCISCO, CA 94112
(37.715018, -122.442196)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=6462/022,Exempt,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3740/030,160 Folsom,160 FOLSOM ST,94105,11567,,"160 FOLSOM ST
SAN FRANCISCO, CA 94105
(37.789607, -122.391585)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3740/030,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0173/002,643 FRONT ST,649 FRONT ST,94111,19322,Office,"649 FRONT ST
SAN FRANCISCO, CA 94111
(37.797532, -122.399629)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0173/002,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,97,24.5,71.8,-58.9,-58.9,39.5,2,24.5,71.8,96,28.7,78.5,-56,-56,42.2,2.2,29.4,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4343/028,vansales and company,2398 JERROLD AVE,94124,20000,Non-Refrigerated Warehouse,"2398 JERROLD AVE
SAN FRANCISCO, CA 94124
(37.747275, -122.403244)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=4343/028,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,12,37.7,-37.1,-37.1,20.8,1,12,37.7,,13.1,41,-31.6,-31.6,21.3,1.1,13.1,41,,15.7,49.3,-17.8,-17.8,25.6,1.3,14.7,46.2,,12.4,38.8,-35.3,-35.3,20.1,1,12.8,40.2,,,,,,,,,,,,,,,,,,
0349/003,1 JONES ST,1 JONES ST,94102,38310,,"1 JONES ST
SAN FRANCISCO, CA 94102
(37.78142, -122.412099)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0349/003,Violation - Did Not Report,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3940/004,ARE San Francisco No. 43,499 Illinois st,94158,332927,Laboratory,"499 Illinois st
SAN FRANCISCO, CA 94158
(37.765891, -122.388037)",Complied,,http://propertymap.sfplanning.org/?&search=3940/004,Complied,,Complied,,,,,,,,,,,,Upcoming,2020-04-01T00:00:00,,,,175.8,364.5,196.1,196.1,2538,11.3,179.2,368.1,,168.9,362.7,194.6,194.6,2686.5,12,170.3,364.2,,134.8,295,139.6,139.6,2077.7,9.2,136.2,296.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015/054,3838 CALIFORNIA ST,3830 CALIFORNIA ST,94118,109613,Medical Office,"3830 CALIFORNIA ST
SAN FRANCISCO, CA 94118
(37.78589, -122.45756)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=1015/054,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Upcoming,2021-04-01T00:00:00,,,,,,,,,,,,6,150.1,314.9,77.3,77.3,842.9,10.5,150.1,314.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0196/024,Eclipse Champagne Building,520 WASHINGTON ST,94111,30496,Office,"520 WASHINGTON ST
SAN FRANCISCO, CA 94111
(37.795625, -122.402501)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=0196/024,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,86,44.9,96.7,-40,-40,97,3.2,44.9,96.7,73,60.7,124.3,-24.6,-24.6,123.4,4,61,123.3,67,64.4,132.1,-18.5,-18.5,131,4.3,67.3,133.6,57,82.9,153.7,-7.7,-7.6,168,5.5,83.4,154.2,,58.8,127.7,-13.5,,118.94,,58.8,127.7,,,,,,,,,
0289/001,225 Bush Street,225 BUSH ST,94104,660631,Office,"225 BUSH ST
SAN FRANCISCO, CA 94104
(37.791131, -122.401213)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0289/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Upcoming,2019-04-01T00:00:00,Exempt - ENERGY STAR,2014-04-01T00:00:00,,,,,,,,,,82,70.2,155.7,-34.5,-34.5,3232.5,5,72.4,157.3,78,67.8,150.1,-29.6,-29.6,3280.1,5,69.1,151.1,76,69.7,152.1,-27.7,-27.7,3363.1,5.2,72.3,155.2,78,70.3,147.7,-30.1,-30.1,3369,5.2,70.5,147.9,86,63.2,138.6,-39,,3829.98,,64.1,143.1,90,57.5,,-45.4,,4002.95,,53.7,
0312/031,One Kearny Master Tenant LPA,1 Kearny St,94108,116495,Office,"1 Kearny St
SAN FRANCISCO, CA 94108
(37.787691, -122.403447)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0312/031,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,,,Complied,2015-04-01T00:00:00,,,,,,,,,,74,85.4,199.5,-25,-25,743.8,6.4,85.4,199.5,94,42.2,127.9,-52.6,-52.6,353.4,3.4,42.2,127.9,94,42.7,128.1,-52,-52,357.1,3.4,42.7,128.1,90,51,147.1,-45.7,-45.7,421.6,4.1,51,147.1,97,36.9,110.4,-59,-59,357.1,3,36.6,110,,,,,,,,,
3547/002,1850 MISSION ST,1850 MISSION ST,94103,23247,Vocational School,"1850 MISSION ST
SAN FRANCISCO, CA 94103
(37.767402, -122.419894)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=3547/002,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,31.3,83.4,-41.1,-41.1,46.4,2.5,33.6,86.5,,30.2,82.5,-41.7,-41.7,43,2.3,30.7,82.1,,28.9,79.8,-43.6,-43.6,41.4,2.2,30.6,79.9,,31.2,80.8,-42.9,-42.9,43.3,2.3,30.3,80.3,,,,,,,,,,,,,,,,,,
3951/005,88 MISSOURI ST,88 MISSOURI ST,94107,10149,Fitness Center/Health Club/Gym,"88 MISSOURI ST
SAN FRANCISCO, CA 94107
(37.765491, -122.3968)",Complied,,http://propertymap.sfplanning.org/?&search=3951/005,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,15,42.3,-56.4,-56.4,11,1.1,15.5,42.7,,,,,,,,,,,12.3,34.4,-64.4,-64.4,9.6,0.9,12.5,34.6,,8.2,22,-77.3,-77.3,6.3,0.6,8.2,22,,6.8,15.5,-84,-84,4.8,0.5,6.9,15.6,,,,,,,,,,,,,,,,,,
0855/010,1740 Market Street,1748 MARKET ST,94102,25258,Office,"1748 MARKET ST
SAN FRANCISCO, CA 94102
(37.772221, -122.423109)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0855/010,Exempt,Exempt - Vacant,Complied,,Complied,,Exempt,Exempt - Vacant,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,76,55,114.3,-27.6,-27.6,92.7,3.7,54.6,113.1,78,51,109.2,-29.6,-29.6,87,3.5,51,109.2,,,,,,,,,,,41.6,105.9,-38.9,,71.73,,40.8,105.1,,,,,,,,,
3785/024,157 BLUXOME ST,157 BLUXOME ST,94107,16275,,"157 BLUXOME ST
SAN FRANCISCO, CA 94107
(37.774905, -122.399356)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3785/024,Violation - Did Not Report,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2021-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3527/001,1001 Brannan St.,1001 BRANNAN ST,94103,26000,Fitness Center/Health Club/Gym,"1001 BRANNAN ST
SAN FRANCISCO, CA 94103
(37.769884, -122.407208)",Complied,,http://propertymap.sfplanning.org/?&search=3527/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,127.6,240.3,148.2,148.2,206.3,7.9,127.6,240.3,,107.1,234.7,142.4,142.4,199.1,7.7,106.7,233.5,,95.4,234.3,142,142,179.1,6.9,96,233.5,,99.9,247.4,155.6,155.6,188.3,7.2,101.7,245.5,,109.3,257.6,166.1,166.1,201.5,7.7,107.5,255.7,,121.7,288.2,73.9,,237.02,,122.4,289,,,,,,,,,
0142/001,855 Battery Street,855 BATTERY ST,94111,233609,Office,"855 BATTERY ST
SAN FRANCISCO, CA 94111
(37.799187, -122.401181)",Complied,,http://propertymap.sfplanning.org/?&search=0142/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,68,77.4,209.5,-19.2,-19.2,1285.6,5.5,78.1,210.3,67,76.4,209.7,-18,-18,1434.7,6.1,77.5,210.8,64,80.9,220.8,-14.9,-14.9,1515,6.5,81,219.9,60,84.5,229,-10.7,-10.7,1494.2,6.4,84.5,227.2,57,89.5,239.7,-8.2,-8.1,1573.7,6.7,89.6,239.5,60,86.7,246.9,-11.3,,1676.19,,86.8,247,58,90.2,,-9.3,,1733.07,,88.8,
1434/046,SAN FRANCISCO TOYOTA SALES DEPT.,3800 GEARY BLVD,94118,10675,Automobile Dealership,"3800 GEARY BLVD
SAN FRANCISCO, CA 94118
(37.781265, -122.460337)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=1434/046,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,,,,,,,,,,42,111.9,-14,-14,35.5,3.3,49.8,127.4,,43.1,119.2,-8.4,-8.4,35.2,3.3,44.3,120.5,,42.4,108.7,-16.5,-16.5,33.4,3.1,48,114.5,,48.7,106.5,-18.1,-18.1,35.6,3.3,44.4,98.7,,,,,,,,,,,,,,,,,,
